S.No.,Sample ID,Latitude,Longitude,Remark,pH,EC,Turbidity (NTU),Ca (mg/l),K (mg/l),Cl (mg/l),Fe (mg/l),Ba (mg/l),B (mg/l),Cr (mg/l),Pb (mg/l),Mn (mg/l),,,,,,,,,,,,,,,,,
1,KCGW-1,26.395339,80.047431,HP Khan Chandpur Tample,8.72,2170,0.55,44.28,4.32,14.2,0.01,0,0,9,0,0,,,,,,,,,,,,,,,,,1.25
2,KCGW-2,26.394204,80.050382,HP,8.7,2310,0.87,47.64,2.94,8.52,0.01,0.175,0.1625,3.125,0.025,0.025,,,,,,,,,,,,,,,,,
3,KCGW-3,26.3911527,80.05032,HP,8.33,2280,1,111.12,7.32,7.1,0.02,0.275,0.0625,0,0.05,0,,,,,,,,,,,,,,,,,
4,KCGW-4,26.393573,80.0502667,HP,8.12,1482,2.04,47.45,2.34,4.26,0.01,0.1625,0.1125,3.125,0.025,0.025,,,,,,,,,,,,,,,,,
5,KCGW-5,26.393248,80.050336,HP,8.44,2860,1.36,0.42,0,9.94,0.01,0.225,0.15,1.675,0.025,0,,,,,,,,,,,,,,,,,
6,KCGW-6,26.393316,80.057133,Sumer,8.02,5530,0.86,242,2.28,25.56,0.02,0.0875,0.05,0.1,0.0375,0.0125,,,,,,,,,,,,,,,,,
7,KCGW-7,26.394763,80.050975,Sumer Borewell,7.95,1365,1.89,42.42,2.28,7.1,0.01,0.175,0.05,1.175,0.025,0,,,,,,,,,,,,,,,,,
8,KCGW-8,26.395293,80.050846,Borewell,8.22,1930,1.88,40.2,3.8,9.94,0.01,0.2625,0.0375,10.1,0.0125,0.025,,,,,,,,,,,,,,,,,
9,KCGW-9,26.3908805,80.05496667,Hand Pump,7.98,4140,2.9,110.4,4.44,4.26,0.01,0.1,0.1125,0.0875,0.0375,0.0375,,,,,,,,,,,,,,,,,
10,KCGW-10,26.394798,80.050748,Borewell,8.09,2230,1.62,0,0,7.1,0.01,0.225,0.15,1.675,0.025,0,,,,,,,,,,,,,,,,,
11,KCGW-11,26.394387,80.049982,HP,8.32,2340,0.44,69.84,2.82,8.52,0.01,0.125,0.075,5.4375,0.025,0,,,,,,,,,,,,,,,,,
12,KCGW-12,26.394541,80.050147,HP,8.33,1646,0.83,0,0,7.1,0.01,0.175,0.1375,0.4125,0.0375,0,,,,,,,,,,,,,,,,,
13,KCGW-13,26.39715,80.0497583,HP,8.82,2350,0.46,33.66,2.4,8.52,0.01,0.1375,0.1875,0.075,0.025,0.0125,,,,,,,,,,,,,,,,,
14,KCGW-14,26.393901,80.049466,HP,7.91,2170,0.67,0,0,8.52,0.01,0.225,0.1625,0.8375,0.025,0.025,,,,,,,,,,,,,,,,,
15,KCGW-15,26.4000255,80.0584416,HP,8.08,1257,0.5,33.69,3.03,4.26,0.01,0.125,0.1875,0.0125,0.0375,0.025,,,,,,,,,,,,,,,,,
16,KCGW-16,26.393628,80.049079,HP,8.78,873,0.63,0,0,8.52,0.01,0.2625,0.175,4.3375,0.025,0.0125,,,,,,,,,,,,,,,,,
17,KCGW-17,26.39357,80.04902,HP,8.68,2200,0.81,36.45,2.88,5.68,0.01,0.2125,0.175,2.7625,0.025,0.025,,,,,,,,,,,,,,,,,
18,KCGW-18,26.391275,80.04989,HP,7.92,1513,0.51,36.96,3.1,7.1,0.01,0.1875,0.1375,0.1125,0.025,0.0125,,,,,,,,,,,,,,,,,
19,KCGW-19,26.395762,80.050152,HP,8.09,2370,0.59,0,0,7.1,0.01,0.25,0.1,5.2125,0.025,0.025,,,,,,,,,,,,,,,,,
20,KCGW-20,26.395761,80.050291,HP,7.61,2640,1.03,54.78,4.02,12.78,0.01,0.1375,0.05,20.8375,0.025,0.0625,,,,,,,,,,,,,,,,,
21,KCGW-21,26.3905861,80.049211,HP,7.89,1.65,1.91,50.16,2.64,7.1,0.01,0.1,0.1625,0.025,0.025,0,,,,,,,,,,,,,,,,,
