Sample ID ,pH,DO,Turbidity,EC,TDS,Total Hardness,Chloride ,Nitrate (mg/L),Phosphate (mg/L),Chromium,Iron,Sodium ,Magnesium,Potassium ,Zinc,Selenium,Cadmium
KCGW-1,,,,,,,,9.715,Not Detected (ND),,,,,,,,
KCGW-2,,,,,,,,8.756,1.939,,,,,,,,
KCGW-3,,,,,,,,31.137,ND,,,,,,,,
KCGW-4,,,,,,,,8.739,ND,,,,,,,,
KCGW-5,,,,,,,,13.409,ND,,,,,,,,
KCGW-6,,,,,,,,56.237,ND,,,,,,,,
KCGW-7,,,,,,,,11.616,ND,,,,,,,,
KCGW-8,,,,,,,,9.89,2.024,,,,,,,,
KCGW-9,,,,,,,,29.019,ND,,,,,,,,
KCGW-10,,,,,,,,9.273,ND,,,,,,,,
KCGW-11,,,,,,,,11.708,0.875,,,,,,,,
KCGW-12,,,,,,,,11.124,ND,,,,,,,,
KCGW-13,,,,,,,,8.014,ND,,,,,,,,
KCGW-14,,,,,,,,9.189,ND,,,,,,,,
KCGW-15,,,,,,,,10.357,ND,,,,,,,,
KCGW-16,,,,,,,,8.722,1.249,,,,,,,,
KCGW-17,,,,,,,,8.889,ND,,,,,,,,
KCGW-18,,,,,,,,3.761,ND,,,,,,,,
KCGW-19,,,,,,,,5.629,0.226,,,,,,,,
KCGW-20,,,,,,,,12.05,5.707,,,,,,,,
KCGW-21,,,,,,,,3.319,ND,,,,,,,,
KCGW-22,,,,,,,,18.321,5.052,,,,,,,,
