SOIL TEXTURE ANALYSIS,,,,,,,,,
,,,,,,,,,
SN,Sample,Depth of Sand Layer (cm),Depth of Silt Layer (cm),Depth of Clay Layer (cm),Total Depth (cm),Sand (%),Silt (%),Clay (%),Soil Type
1,Temp -1,0,0,3.7,3.7,0.00,0.00,100.00,Clay
2,NN-1,0,0,2.4,2.4,0.00,0.00,100.00,Clay
3,BST-3,2.4,0,1.2,3.6,66.67,0.00,33.33,Sandy Clay Loam
4,AST-3,2.3,0,1,3.3,69.70,0.00,30.30,Sandy Clay Loam
5,LDB-2,2.5,1,0.2,3.7,67.57,27.03,5.41,Sandy Loam
6,ADT-2,2.5,0,0,2.5,100.00,0.00,0.00,Sand
7,Temp S-2,0,2.2,1.4,3.6,0.00,61.11,38.89,Silt Clay Loam
8,HPUD,1.3,0,2.1,3.4,38.24,0.00,61.76,Sandy Clay  
9,HPSS-3,3.6,0,0,3.6,100.00,0.00,0.00,Sand
10,DSST-2,1.6,0.9,0.7,3.2,50.00,28.13,21.88,Silt Clay Loam
11,DSST-1,2.1,1,0,3.1,67.74,32.26,0.00,Sandy Loam
12,BST-2,2,0,1.5,3.5,57.14,0.00,42.86,Sandy Clay  
13,DSST-1,2.1,0,1,3.1,67.74,0.00,32.26,Sandy Clay Loam
14,Temp S - 1,0,1.8,1.4,3.2,0.00,56.25,43.75,Silty Clay
15,Temp D -3,0,0,4.1,4.1,0.00,0.00,100.00,Clay
16,HPSD-1,2,0,1.4,3.4,58.82,0.00,41.18,Sandy Clay
17,HPSS-1,2.4,0,0,2.4,100.00,0.00,0.00,Sand
18,DSST-3,2.5,0,1.5,4,62.50,0.00,37.50,Sandy Clay
19,HPSS-1,2.4,0,0,2.4,100.00,0.00,0.00,Sand
20,DSST-3,2.5,0,1.5,4,62.50,0.00,37.50,Sandy Clay
21,DSST-3,2.5,0,1.4,3.9,64.10,0.00,35.90,Sandy Clay
22,HPSS-2,2.9,0,0,2.9,100.00,0.00,0.00,Sand
23,HPSD-2,0.9,0.7,0.6,2.2,40.91,31.82,27.27,Clay Loam
24,Extra-1,3,1,0,4,75.00,25.00,0.00,Loamy Sand
25,AST-1,3.4,0,1.1,4.5,75.56,0.00,24.44,Sandy Clay Loam
26,CST-3,1.5,0,1.1,2.6,57.69,0.00,42.31,Sandy Clay
27,AST-2,2,1.9,0.3,4.2,47.62,45.24,7.14,Loam 
28,Temp S- 3,0,1.4,1.1,2.5,0.00,56.00,44.00,Silty Clay
29,LDB - 3,2,0,1.1,3.1,64.52,0.00,35.48,Sandy Clay
30,CST - 2,2.4,0,0,2.4,100.00,0.00,0.00,Sand
31,ADT - 3,3.2,0,0.2,3.4,94.12,0.00,5.88,Sand
32,ADT - 1,2.4,0,0.8,3.2,75.00,0.00,25.00,Sandy Clay Loam
33,CST - 1,2.4,0.8,0,3.2,75.00,25.00,0.00,Sandy Loam
