Sample no,Li,Na,Mg,Al,P,K,Ca,Cr,Mn,Fe,Co,Ni,As,Se,Sr,Cd,Sb,Ba
,,,,,,,,,,,,,,,,,,
1,6.736,42490.385,7748.675,<0.000,308.77,4709.069,1385.151,46.176,1.348,<0.000,0.129,0.446,5.117,0.073,220.232,0.486,0.45,21.181
2,3.691,24221.539,4347.379,<0.000,259.754,3252.6,989.602,15.982,1.335,<0.000,0.102,0.339,2.754,<0.000,147.979,0.143,0.319,14.724
3,6.555,49942.095,8223.796,<0.000,964.757,9051.027,1515.14,42.956,36.447,2.893,0.209,0.687,5.389,0.291,233.575,0.071,0.353,23.027
4,1.309,7276.513,2258.683,<0.000,<0.000,2901.903,286.217,1.135,0.662,<0.000,0.056,0.159,1.377,0.145,34.587,0.05,0.142,3.623
5,3.379,18682.971,7103.539,<0.000,91.304,6768.175,1412.881,1.9,1.002,8.353,0.084,0.282,4.556,0.145,154.298,0.071,0.115,15.379
6,3.074,16875.438,6705.931,<0.000,37.83,5665.829,1369.552,3.076,0.701,5.261,0.071,0.229,4.454,<0.000,144.782,0.064,0.112,14.518
7,7.469,70665.386,8926.515,1.273,446.934,8860.02,821.962,4.198,1.2,<0.000,0.123,0.809,7.872,0.218,154.862,0.05,0.187,12.511
8,6.754,67843.369,8428.907,<0.000,235.741,6782.417,868.742,7.696,0.893,<0.000,0.081,0.442,7.276,0,137.212,0.064,0.107,14.467
9,4.401,44115.841,5687.194,<0.000,282.881,5397.25,769.118,2.685,0.743,<0.000,0.089,0.282,3.961,<0.000,110.862,0.021,0.059,9.997
10,1.417,14197.714,1874.394,7.48,45.332,2722.654,497.984,5776.01,0.252,<0.000,0.095,0.331,0.986,<0.000,24.665,0.036,0.051,2.469
11,1.643,15598.763,2079.39,5.155,43.606,3162.786,617.52,6759.684,0.447,<0.000,0.096,0.421,1.105,<0.000,27.3,0.093,0.021,3.388
12,1.129,16856.341,2044.925,3.467,<0.000,1418.177,328.221,11141.428,0.301,<0.000,0.146,0.397,0.544,<0.000,16.263,0.043,<0.000,4.05
13,1.708,56779.948,3989.259,4.21,55.278,10468.637,1434.556,31648.65,0.356,<0.000,0.172,0.135,10.83,<0.000,49.922,0.036,0.035,5.27
14,0.927,33210.988,538.105,187.667,108.539,1057.988,178.827,787.89,1.176,110.402,0.148,0.961,11.306,0.146,11.589,0.136,0.07,4.197
15,0.812,25515.707,568.067,54.463,89.719,1542.044,209.138,1627.386,0.244,23.472,0.064,0.196,10.422,<0.000,11.169,0.029,<0.000,3.182
16,0.869,41055.679,557.196,70.417,117.984,854.882,195.282,203.731,0.395,27.646,0.07,0.176,14.265,0.291,12.82,0.014,0.051,1.044
17,0.92,38429.283,778.533,220.367,101.003,742.63,218.232,115.584,0.527,92.717,0.136,0.462,13.04,<0.000,16.17,0.05,0.011,1.499
18,5.704,47281.691,2063.938,9796.402,119.273,2123.211,159.34,160.894,20.73,9662.486,0.759,3.585,17.614,0.218,13.232,0.136,0.171,13.599
19,2.883,38397.048,1176.323,4627.897,117.903,2125.493,156.311,4590.766,10.466,4454.333,0.452,1.627,12.19,0.291,10.567,0.043,0.037,6.468
20,5.395,33996.179,1993.63,9981.647,161.076,2748.452,157.609,3337.526,18.515,8338.538,0.744,2.948,12.819,0.363,10.848,0.014,0.056,12.21
21,1.589,39749.282,1198.892,1137.067,74.288,1786.982,298.776,3925.431,3.428,750.674,0.168,0.564,10.745,<0.000,20.633,0.014,0.008,2.91
22,3.308,25929.239,5320.014,49.149,<0.000,2925.499,621.851,12.476,1.207,57.998,0.081,0.237,4.318,<0.000,74.702,0.021,<0.000,8.57
23,3.015,95581.204,4368.898,219.505,26.061,2709.491,474.599,6.384,1.449,68.247,0.092,0.568,4.182,<0.000,56.783,0.014,<0.000,5.777
24,2.716,23615.822,4371.444,13.39,<0.000,2602.341,321.292,2.255,0.691,14.271,0.054,0.131,3.145,0,46.314,0.007,<0.000,4.822
25,1.585,12770.296,3257.237,<0.000,<0.000,1343.099,369.362,1.085,0.543,11.139,0.038,0.029,2.567,0.145,41.166,0.007,<0.000,4.461
26,1.401,11306.409,2987.876,<0.000,<0.000,1223.105,404.009,2.426,0.397,7.78,0.027,0.106,2.38,0,46.751,0.021,<0.000,5.873
28,0.253,2130.471,606.335,7.005,<0.000,219.803,80.102,6.037,0.701,13.694,0.012,0.311,0.221,<0.000,8.082,0.007,<0.000,4.608
29,1.928,29191.027,3609.129,65.568,16.126,2145.703,595.435,920.065,0.486,34.774,0.052,0.388,4.25,0.073,57.01,0,<0.000,4.3
30,1.786,20488.368,2835.075,374.682,5.735,1835.374,553.422,1089.939,1.311,184.139,0.056,0.294,4.25,<0.000,46.03,0,<0.000,3.094
31,1.672,18715.135,2603.27,438.831,<0.000,1825.048,511.41,1045.602,1.301,272.831,0.065,0.311,4.012,<0.000,40.32,0.007,<0.000,3.77
32,4.017,10245.606,3064.566,1.085,167.689,5983.509,342.514,6.456,0.577,9.855,0.066,0.204,1.768,<0.000,41.899,0.007,<0.000,4.792
33,5.084,12283.349,3885.281,<0.000,229.886,7451.764,727.97,9.273,0.465,8.535,0.056,0.266,2.057,<0.000,65.989,0.036,<0.000,7.358
34,3.817,9938.941,3112.208,<0.000,179.726,5744.199,660.401,7.712,0.314,4.987,0.079,0.372,1.564,<0.000,51.667,0.021,<0.000,7.247
35,3.769,28669.814,4990.873,44.832,<0.000,3805.685,677.72,196.332,0.693,32.556,0.06,0.384,0.459,0.073,81.329,0.007,<0.000,4.086
36,1.486,16256.942,2098.865,52.096,<0.000,1465.684,494.086,104.303,1.122,27.468,0.076,0.36,0.357,<0.000,49.829,0.064,<0.000,3.954
37,2.583,21347.341,2727.691,157.205,<0.000,3292.65,645.671,696.386,0.859,89.954,0.089,0.495,1.207,<0.000,41.432,0.029,<0.000,4.469
38,1.02,4167.054,1162.296,402.221,<0.000,1539.66,281.455,4.912,1.392,218.403,0.051,0.213,1.156,<0.000,21.361,0.007,<0.000,5.152
39,0.518,2424.906,731.919,31.868,<0.000,975.267,206.106,1.757,0.584,22.51,0.047,0.033,0.527,<0.000,15.57,0.014,<0.000,2.727
40,0.407,1772.232,609.677,17.235,<0.000,691.069,187.487,1.309,0.184,10.727,0.029,<0.000,0.459,<0.000,14.649,0.021,<0.000,3.8
41,2.219,14501.576,2011.223,460.731,178.862,4897.523,367.632,1.027,2.238,309.536,0.085,0.458,4.165,0.145,35.488,0,0.046,6.181
42,1.079,7731.399,1145.48,56.509,162.523,2807.175,301.374,0.578,0.6,47.241,0.052,0.102,2.312,<0.000,28.809,0.029,0.024,3.388
43,2.202,14426.969,2053.38,592.817,175.078,4820.111,383.221,1.217,2.81,383.135,0.12,0.495,4.097,<0.000,36.048,0,0.021,4.66
44,3.187,21472.485,1551.063,1922.749,172.607,3965.254,360.701,2.018,10.614,2957.3,0.353,1.243,5.304,0.145,34.631,0.014,0.056,7.585
45,3.191,21429.581,1628.016,2179.091,170.368,3140.078,354.207,2.447,11.355,3294.673,0.347,1.239,5.083,0,34.009,0.014,0.056,6.196
46,2.182,15764.248,1323.294,289.409,278.1,3303.482,356.37,0.469,1.41,156.37,0.106,0.401,3.519,<0.000,35.783,0,0.099,4.403
48,5.884,46207.438,7372.142,121.02,1027.479,40308.055,834.521,1.73,0.911,87.546,0.135,0.883,5.287,0.073,127.344,0.036,<0.000,18.173
49,5.843,47100.239,7494.277,52.96,1049.995,40879.718,859.646,1.876,0.608,73.212,0.143,0.609,5.27,0.218,130.488,0.021,<0.000,19.144
50,3.886,31548.952,5365.502,32.433,935.725,26876.798,725.367,1.876,0.517,44.22,0.17,0.503,3.672,<0.000,101.567,0.021,<0.000,15.077
51,7.275,26186.784,6925.249,<0.000,<0.000,5015.929,1670.284,<0.000,344.317,1.79,1.098,9.376,0.068,0.146,143.46,0.079,<0.000,11.408
52,2.621,25154.623,5948.192,58.592,<0.000,18238.88,3049.701,47086.086,0.914,<0.000,0.175,0.339,0.034,<0.000,37.916,0.014,<0.000,1.323
53,2.244,80054.83,10098.222,37.971,<0.000,19104.994,2336.879,129867.268,0.514,<0.000,0.181,0.086,<0.000,<0.000,49.018,0.007,<0.000,2.866
54,1.851,18689.791,4350.441,144.147,15.027,12416.88,2536.292,32565.048,0.021,<0.000,0.125,0.143,<0.000,<0.000,33.244,0.029,<0.000,2.139
55,1.225,5710.742,2244.413,13.972,17.516,4274.148,507.946,99.377,0.293,<0.000,0.119,0.204,0.646,<0.000,22.09,0.007,<0.000,2.153
