Sample ID,Temp,pH,DO %Sat,DO mg/L,Turb NTU,EC uS/cm,TDS mg/L,,Alkalinity,Chloride,,,,Magnesium (Mg2+),,,,TH,Calcium (Ca2+)
60,18.9,7.25,98.1,8.83,182,1348,567,,202,5.68,,,,34.9,,,,236,92.5
61,19.2,7.31,97.8,8.75,161,1247,565,,144,4.26,,,,24.2,,,,164,64.5
62,19.5,7.32,98.2,8.73,174,1048,432,,248,2.84,,,,75.2,,,,396,86.4
63,19.4,7.27,98.2,8.76,400,342,174,,248,18.46,,,,40.5,,,,255,88.1
64,19.5,7.32,95.1,8.45,189,564,270,,98,5.68,,,,20,,,,184,101.6
65,19.5,7.4,96.1,8.54,584,539,273,,140,7.1,,,,45.8,,,,298,109.4
66,19.7,7.34,97.2,8.6,177,814,284,,117,4.26,,,,26.3,,,,153,44.6
67,19.6,7.36,96.9,8.61,179,857,386,,165,7.1,,,,27.5,,,,197,84
68,19.5,7.5,98.7,8.78,179,832,391,,450,5.68,,,,131.8,,,,621,78.6
69,19.5,7.7,98.2,8.75,181,1121,487,,324,11.36,,,,63,,,,328,68.7
70,19.5,7.35,99.1,8.82,174,1137,432,,287,9.94,,,,69.4,,,,356,70.5
71,19.5,7.43,99.1,8.82,174,1144,351,,260,9.94,,,,76.6,,,,387,71.6
72,19.6,7.7,99.1,8.79,186,1940,522,,80,14.2,,,,22.6,,,,120,26.8
73,19.6,7.37,98.1,8.72,184,647,244,,131,4.26,,,,18.1,,,,139,64.7
74,19.6,7.73,98.4,8.74,214,1842,770,,177,17.04,,,,43.8,,,,278,97.6
75,19.6,7.7,97.5,8.64,188,947,431,,106,9.94,,,,26.3,,,,223,114.6
76,19.6,7.72,98.1,8.7,184,534,247,,326,5.68,,,,79.5,,,,397,69.8
77,19.6,8.03,98.8,8.78,185,1403,579,,296,9.94,,,,38.9,,,,311,150.7
78,19.6,8.22,93.4,8.29,184,3482,1570,,186,5.68,,,,45.8,,,,287,98.6
79,19.6,7.98,98.6,8.74,181,1188,548,,243,14.2,,,,48.2,,,,320,121.5
80,19.5,7.94,98.2,8.73,199,759,354,,305,11.36,,,,64.8,,,,375,108.4
81,19.5,8.16,98.6,8.77,185,3266,1490,,445,34.08,,,,139.725,,,,680,105
82,19.5,8.11,98.5,8.78,179,1167,508,,498,8.52,,,,138.996,,,,667,95
83,19.4,8.23,99.5,8.87,178,1411,645,,155,12.78,,,,55.7685,,,,251,21.5
84,19.3,8.03,98.4,8.77,176,994,463,,158,8.52,,,,59.1948,,,,357,113.4
85,19.3,8.11,98,9.71,184,938,424,,112,7.1,,,,29.16,,,,168,48
86,19.4,8.12,99.5,8.88,186,867,400,,530,7.1,,,,138.3642,,,,669,99.6
87,19.4,7.38,95.7,8.52,1416,3999,2100,,147,28.4,,,,107.3088,,,,554,112.4
88,19.5,8.3,98.5,8.75,182,1507,737,,189,8.52,,,,78.1731,,,,364,42.3
89,19.5,7.4,94.8,8.44,1051,3999,415,,,,,,,,,,,,
90,19.4,8.39,96.9,8.63,265,2388,1240,,248,14.2,,,,46.9476,,,,250,56.8
91,19.4,8.12,98,8.71,177,1458,703,,357,12.78,,,,69.2793,,,,364,78.9
92,19.4,8.25,98.6,8.79,183,1070,502,,248,9.94,,,,57.9555,,,,340,101.5
93,19.3,8.6,98.3,8.8,181,1644,763,,265,8.52,,,,61.3575,,,,316,63.5
94,21.4,7.15,94.9,8.23,191,1045,488,,417,7.1,,,,96.957,,,,515,116
95,19.9,7.19,93.9,8.34,492,2268,1090,,336,18.46,,,,84.078,,,,430,84
96,19.5,7.2,96.2,8.6,184,1370,678,,197,11.36,,,,41.6016,,,,248,76.8
97,19.2,7.35,96.6,8.69,196,2589,1220,,96,15.62,,,,19.0755,,,,129,50.5
98,19,7.44,96.9,8.74,191,1696,473,,132,18.46,,,,14.9445,,,,160,98.5
99,18.9,7.46,95.8,8.67,195,1870,811,,117,15.62,,,,21.7485,,,,159,69.5
100,18.85,7.5,96.8,8.76,198,2060,889,,177,9.94,,,,41.6016,,,,260,88.8
101,18.8,7.58,96.7,8.77,188,597,270,,68,11.36,,,,23.2308,,,,140,44.4
102,18.7,7.55,97,8.81,182,1562,678,,197,9.94,,,,76.5936,,,,365,49.8
103,18.7,7.97,97.3,8.83,191,947,432,,98,8.52,,,,32.2461,,,,198,65.3
104,18.7,7.6,97.6,8.84,197,980,427,,170,15.62,,,,32.562,,,,195,61
105,18.7,7.59,97.2,8.81,190,930,312,,268,9.94,,,,59.049,,,,294,51
106,18.7,7.6,97,8.81,183,1136,392,,177,11.36,,,,24.543,,,,209,108
107,18.7,7.68,96.6,8.77,185,2302,968,,191,7.1,,,,31.59,,,,198,68
108,18.7,7.7,97,8.82,185,768,336,,537,12.78,,,,102.4245,,,,540,118.5
109,18.7,7.7,97.1,8.8,194,985,432,,230,26.98,,,,63.0585,,,,365,105.5
110,18.7,7.37,96.1,8.7,258,1105,473,,,,,,,,,,,,
111,18.8,7.35,97,8.72,398,849,392,,,,,,,,,,,,
112,19,7.35,96.6,8.71,283,1088,493,,,,,,,,,,,,
113,19.2,7.35,96.2,8.67,345,1061,505,,,,,,,,,,,,
114,19.2,7.35,96.6,8.66,273,904,430,,,,,,,,,,,,
115,19.3,7.36,96.7,8.64,312,1025,481,,,,,,,,,,,,
116,19.5,7.36,96.2,8.57,333,1583,682,,,,,,,,,,,,
117,19.29,7.33,96.9,8.7,334,866,404,,,,,,,,,,,,
118,19.1,7.22,96,8.67,425,1510,586,,,,,,,,,,,,
119,19.1,7.22,96.6,8.71,264,1088,518,,,,,,,,,,,,
120,19.1,7.32,96.3,8.66,285,3306,1480,,,,,,,,,,,,
121,19.1,7.27,96.5,8.69,354,1040,578,,,,,,,,,,,,
122,19.1,7.42,97,8.72,272,1015,491,,,,,,,,,,,,
123,19.1,7.32,96.4,8.68,355,1234,604,,,,,,,,,,,,
124,19.2,7.31,96.6,8.67,284,1520,738,,,,,,,,,,,326,103
125,19.1,7.97,94.7,8.53,184,1952,849,,306,7.1,,,,54.189,,,,145,54.9
126,18.5,8.27,96.5,8.77,196,1416,646,,119,11.36,,,,21.8943,,,,145,51.6
127,18.4,7.17,78.9,7.7,181,3999,2230,,83,7.5,,,,22.6962,,,,212,84.1
128,18.4,8.51,93.4,8.51,189,2164,1110,,187,4.26,,,,31.0797,,,,290,91.5
129,18.5,8.42,95.4,8.63,185,2402,1210,,188,2.84,,,,48.2355,,,,265,42.3
130,18.83,8.41,96.5,8.74,200,1776,808,,181,11.36,,,,54.1161,,,,180,68.8
131,18.6,8.47,95.6,8.67,190,2304,1030,,163,9.94,,,,27.0216,,,,590,106
132,18.5,8.57,96.7,8.73,189,2245,1210,,558,17.04,,,,117.612,,,,435,77.5
133,18.7,8.56,94.6,7.61,364,2656,1340,,410,11.36,,,,86.8725,,,,460,91.4
