Cr (ppm) Data of Rania-Khan Chandpur (June-July 2023),,,
Groundwater Quality June 2023,,,
Lat,Long,Cr (ppm),
26.41113333,80.0386,0,
26.410955,80.0822645,0,
26.41203635,80.08204127,6.18,
26.394984,80.049949,29.48,
26.4120363,80.0820412,0.03,
26.4120363,80.0820413,0.06,
26.4120365,80.0820412,15.61,
26.39643056,80.05468333,6.18,
26.408453,80.0414957,1.09,
26.408453,80.0414958,0.05,
26.408453,80.0414957,17.18,
26.392785,80.0492162,0.01,
26.392785,80.0492162,0.16,
26.3947174,80.049767,0.01,
26.3947174,80.049767,0.01,
26.41378333,80.03541667,2,
26.41378333,80.0354288,0.46,
26.4128,80.03655,4.56,
26.38896667,80.04555667,5.99,
26.39563333,80.05056667,1.39,
26.39638333,80.05006667,0.15,
26.40726312,80.03648618,0.01,
26.40726325,80.03648615,0.01,
26.412151,80.86214307,0,
26.40716667,80.07898333,0.02,
26.4066,80.0769,0,
26.40561667,80.07671667,0.03,
26.4046333,80.06976667,0.03,
26.40091667,80.06763333,0,
26.40246667,80.0787,0,
26.3971723,80.0397969,0.01,
26.39423333,80.06706667,0,
26.3941516,80.04225903,0.3,
26.3947168,80.0497548,8.7,
26.3947168,80.049748,0.07,
26.3947168,80.049755,10.57,
26.3947172,80.0497545,0.25,
26.39471672,80.0497545,1.4,
26.3941516,80.04225903,0.06,
26.407831,80.081228,0,
26.407131,80.079119,0,
26.404881,80.07715,0.02,
26.404009,80.078083,0,
26.405555,80.076464,0,
26.40012167,80.12694444,0.08,
26.404731,80.069699,0,
26.402716,80.069167,0,
26.402187,80.070321,0,
26.408083,80.039892,0.01,
26.408628,80.038099,0,
26.408756,80.038488,0,
