,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr
A1,0.17,0.2125,,A2,,,,A3,0.15,0.1875,,A4,0.19,0.2375,,A5,0.15,0.1875,,A6,0.51,0.6375
B1,0.38,0.475,,B2,,,,B3,0.19,0.2375,,B4,0.35,0.4375,,B5,0.42,0.525,,B6,0.24,0.3
C1,0.22,0.275,,C2,,,,C3,0.19,0.2375,,C4,0.13,0.1625,,C5,0.18,0.225,,C6,0.13,0.1625
D1,0.2,0.25,,D2,,,,D3,0.2,0.25,,D4,0.15,0.1875,,D5,0.14,0.175,,D6,0.13,0.1625
E1,0.15,0.1875,,E2,,,,E3,0.15,0.1875,,E4,0.12,0.15,,E5,0.15,0.1875,,E6,0.18,0.225
F1,0.18,0.225,,F2,,,,F3,0.16,0.2,,F4,0.17,0.2125,,F5,0.18,0.225,,F6,0.15,0.1875
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr
A7,,,,A8,0.13,0.1625,,A9,0.16,0.2,,A10,0.62,0.775,,A11,0.22,0.275,,A12,0.21,0.2625
B7,,,,B8,0.2,0.25,,B9,0.14,0.175,,B10,0.21,0.2625,,B11,0.23,0.2875,,B12,0.2,0.25
C7,,,,C8,0.14,0.175,,C9,0.2,0.25,,C10,0.16,0.2,,C11,0.12,0.15,,C12,0.2,0.25
D7,,,,D8,0.14,0.175,,D9,0.14,0.175,,D10,0.16,0.2,,D11,0.17,0.2125,,D12,0.18,0.225
E7,,,,E8,0.14,0.175,,E9,0.19,0.2375,,E10,0.17,0.2125,,E11,0.14,0.175,,E12,0.18,0.225
F7,,,,F8,0.23,0.2875,,F9,0.15,0.1875,,F10,0.15,0.1875,,F11,0.15,0.1875,,F12,0.2,0.25
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr
A13,,,,A14,0.14,0.175,,A15,,,,A16,,,,A17,,,,A18,,
B13,,,,B14,0.22,0.275,,B15,,,,B16,,,,B17,,,,B18,,
C13,,,,C14,0.14,0.175,,C15,,,,C16,,,,C17,,,,C18,,
D13,,,,D14,0.16,0.2,,D15,,,,D16,,,,D17,,,,D18,,
E13,,,,E14,0.15,0.1875,,E15,,,,E16,,,,E17,,,,E18,,
F13,,,,F14,0.13,0.1625,,F15,,,,F16,,,,F17,,,,F18,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr
A19,0.13,0.1625,,A20,0.13,0.1625,,A21,,,,A22,0.22,0.275,,A23,0.19,0.2375,,A24,0.17,0.2125
B19,0.21,0.2625,,B20,0.15,0.1875,,B21,,,,B22,0.16,0.2,,B23,0.22,0.275,,B24,0.21,0.2625
C19,0.13,0.1625,,C20,0.13,0.1625,,C21,,,,C22,0.19,0.2375,,C23,0.2,0.25,,C24,0.19,0.2375
D19,0.14,0.175,,D20,0.13,0.1625,,D21,,,,D22,0.12,0.15,,D23,0.23,0.2875,,D24,0.15,0.1875
E19,0.16,0.2,,E20,0.15,0.1875,,E21,,,,E22,0.12,0.15,,E23,0.2,0.25,,E24,0.11,0.1375
F19,0.13,0.1625,,F20,0.13,0.1625,,F21,,,,F22,0.13,0.1625,,F23,0.22,0.275,,F24,0.18,0.225
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Plant,Cr,Correct Cr,,Plant,Cr,Correct Cr,,,,,,,,,,,,,,,,
A25,0.11,0.1375,,A26,,,,,,,,,,,,,,,,,,
B25,0.16,0.2,,B26,,,,,,,,,,,,,,,,,,
C25,0.12,0.15,,C26,,,,,,,,,,,,,,,,,,
D25,0.12,0.15,,D26,,,,,,,,,,,,,,,,,,
E25,0.1,0.125,,E26,,,,,,,,,,,,,,,,,,
F25,0.11,0.1375,,F26,,,,,,,,,,,,,,,,,,
