Latitude,Longitude,pH,EC,TDS,Cl (mg/l),TH (mg/l),Turbidity (NTU),Alkalinity (mg/l),Ca (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),Fe (mg/l),Ba (mg/l),B (mg/l),Cr (mg/l),Pb (mg/l),Mn (mg/l),Nitrate (mg/l),Phosphate (mg/l)
26.395339,80.047431,8.72,1870,865,14.2,293,0.55,291,174.28,4.32,63.2,252.12,0.01,0,0.00,9.00,0.00,0.00,59.75,0
26.394204,80.050382,8.7,1510,671,8.52,212,0.87,254,117.64,2.94,49.1,193.21,0.01,0.175,0.16,3.13,0.03,0.03,8.76,1.939
26.3911527,80.05032,8.33,1280,575,7.1,192,1,271,103.12,7.32,21.5,167.5,0.02,0.275,0.06,0.00,0.05,0.00,91.74,0
26.393573,80.0502667,8.12,1482,662,4.26,243,2.04,129,114.45,2.34,43,185.3,0.01,0.1625,0.11,3.13,0.03,0.03,18.74,0
26.393248,80.050336,8.44,1530,585,9.94,184,1.36,258,95.42,0,39.2,162.4,0.01,0.225,0.15,1.68,0.03,0.00,13.41,0
26.393316,80.057133,8.02,1032,439,25.56,322,0.86,243,81.2,2.28,25.9,108.5,0.02,0.0875,0.05,0.10,0.04,0.01,56.24,0
26.394763,80.050975,7.95,1365,590,7.1,256,1.89,290,112.42,2.28,39.8,173,0.01,0.175,0.05,1.18,0.03,0.00,51.62,0
26.395293,80.050846,8.22,2330,883,9.94,275,1.88,297,150.2,3.8,61.6,294.2,0.01,0.2625,0.04,10.10,0.01,0.03,39.89,2.024
26.3908805,80.05496667,7.98,1140,528,4.26,212,2.9,243,115.4,4.44,30,144.2,0.01,0.1,0.11,0.09,0.04,0.04,49.19,0
26.394798,80.050748,8.09,2230,624,7.1,204,1.62,382,108.2,0,33.3,181.6,0.01,0.225,0.15,1.68,0.03,0.00,9.27,0
26.394387,80.049982,8.32,1840,617,8.52,245,0.44,338,129.84,2.82,37.8,180.1,0.01,0.125,0.08,5.44,0.03,0.00,11.71,0.875
26.394541,80.050147,8.33,1246,420,7.1,294,0.83,205,53.2,0,51,118,0.01,0.175,0.14,0.41,0.04,0.00,11.12,0
26.39715,80.0497583,8.82,950,555,8.52,332,0.46,297,93.66,2.4,29.2,154.4,0.01,0.1375,0.19,0.08,0.03,0.01,18.01,0
26.393901,80.049466,7.91,1170,671,8.52,342,0.67,187,87.3,0,43.6,190.4,0.01,0.225,0.16,0.84,0.03,0.03,9.19,0
26.4000255,80.0584416,8.08,1257,553,4.26,231,0.5,159,83.69,3.03,36.7,151.3,0.01,0.125,0.19,0.01,0.04,0.03,10.36,0
26.393628,80.049079,8.78,1773,652,8.52,252,0.63,243,110.3,0,41.5,178.5,0.01,0.2625,0.18,4.34,0.03,0.01,8.72,1.249
26.39357,80.04902,8.68,1300,559,5.68,254,0.81,250,36.45,2.88,33.3,153.2,0.01,0.2125,0.18,2.76,0.03,0.03,8.89,0
26.391275,80.04989,7.92,913,391,7.1,294,0.51,293,36.96,3.1,29.8,109.8,0.01,0.1875,0.14,0.11,0.03,0.01,33.76,0
26.395762,80.050152,8.09,970,495,7.1,442,0.59,418,106,0,31.2,112.3,0.01,0.25,0.10,5.21,0.03,0.03,5.63,0.226
26.395761,80.050291,7.61,2640,759,12.78,412,1.03,329,154.78,4.02,42.5,229.2,0.01,0.1375,0.05,20.84,0.03,0.06,12.05,5.707
26.3905861,80.049211,7.89,165,180,7.1,392,1.91,284,50.16,2.64,29,94,0.01,0.1,0.16,0.03,0.03,0.00,3.32,0
26.39591,80.050385,7.72,3140,814,8.52,253,0.46,188,187.36,4.44,41.3,239.3,0.02,0.1375,0.05,26.43,0.03,0.03,18.32,5.052
26.413756,80.035378,7.86,1829,792,8.52,668,0.55,125,171.52,7.14,38.8,198.5,0.01,0.2,0.20,9.94,0.03,0.06,8.83,2.876
26.413492,80.035607,8.59,874,532,9.94,395,0.54,343,106.4,1.92,45.2,147,0.01,0.0625,0.38,0.00,0.03,0.00,44.73,0
26.413557,80.035728,7.82,1110,542,9.94,442,1.09,321,73.14,4.74,31.3,132.1,0.01,0.0875,0.15,0.61,0.03,0.08,10.43,0
26.404731,80.069699,8.55,939,362,7.1,346,0.98,342,26.22,2.04,0,123.2,0.01,0.075,0.24,0.00,0.03,0.00,19.07,0
26.402716,80.069167,8.47,1482,638,8.4,332,1.08,331,124.78,4.02,40.9,174.2,0.0125,0.171875,0.19,0.03,0.05,0.00,9.77,0
26.412134,80.035943,8.63,1310,540,12.78,234,0.62,187,101.12,4.32,21.2,140,0.02,0.075,0.16,0.00,0.04,0.00,6.31,0
